abundant | 丰富的；充裕的
accommodate | 容纳；适应；提供住宿
acknowledge | 承认；确认收到
acquire | 获得；习得
adequate | 足够的；适当的
advocate | 提倡；拥护者
alternative | 替代的；替代方案
ambiguous | 模棱两可的；含糊的
analyze | 分析；解析
approach | 方法；接近；处理
appropriate | 适当的；合适的
assess | 评估；评定
assume | 假设；承担
benefit | 益处；受益
circumstance | 情况；环境
compensate | 补偿；赔偿
consequence | 结果；后果
consistent | 一致的；始终如一的
contribute | 贡献；捐献；导致
controversial | 有争议的
decline | 下降；衰退；婉拒
demonstrate | 展示；证明；演示
distinguish | 区分；辨别
diverse | 多样化的；不同的
domestic | 国内的；家庭的
emerge | 出现；浮现
emphasis | 强调；重点
encounter | 遭遇；邂逅
enhance | 增强；提高
establish | 建立；设立
